,customer_id,signup_date,true_lifetime_days
0,C00000,2025-08-22,204
1,C00001,2025-03-07,365
2,C00002,2025-08-18,48
3,C00003,2025-09-22,84
4,C00004,2025-05-28,113
5,C00005,2025-11-12,120
6,C00006,2025-08-22,117
7,C00007,2025-08-03,321
8,C00008,2025-05-02,209
9,C00009,2025-01-06,172
10,C00010,2025-09-06,92
11,C00011,2025-08-25,260
12,C00012,2025-07-04,365
13,C00013,2025-07-25,258
14,C00014,2025-07-06,30
15,C00015,2025-01-28,181
16,C00016,2025-03-20,30
17,C00017,2025-02-12,80
18,C00018,2025-05-25,30
19,C00019,2025-03-01,170
20,C00020,2025-06-25,198
21,C00021,2025-01-23,44
22,C00022,2025-11-11,110
23,C00023,2025-03-25,129
24,C00024,2025-04-11,107
25,C00025,2025-10-15,45
26,C00026,2025-10-05,119
27,C00027,2025-06-16,224
28,C00028,2025-05-29,31
29,C00029,2025-03-07,34
30,C00030,2025-05-27,103
31,C00031,2025-06-11,361
32,C00032,2025-10-13,192
33,C00033,2025-10-09,195
34,C00034,2025-04-03,105
35,C00035,2025-01-17,167
36,C00036,2025-07-25,30
37,C00037,2025-01-30,181
38,C00038,2025-07-21,326
39,C00039,2025-11-12,173
40,C00040,2025-01-08,292
41,C00041,2025-06-19,213
42,C00042,2025-03-04,45
43,C00043,2025-09-05,316
44,C00044,2025-01-21,30
45,C00045,2025-11-19,150
46,C00046,2025-04-05,51
47,C00047,2025-03-13,30
48,C00048,2025-10-11,120
49,C00049,2025-09-02,89
50,C00050,2025-03-14,137
51,C00051,2025-10-29,162
52,C00052,2025-05-11,30
53,C00053,2025-09-13,46
54,C00054,2025-10-14,157
55,C00055,2025-12-01,101
56,C00056,2025-10-10,215
57,C00057,2025-08-19,186
58,C00058,2025-03-18,273
59,C00059,2025-01-27,200
60,C00060,2025-05-26,122
61,C00061,2025-04-29,193
62,C00062,2025-10-20,84
63,C00063,2025-06-24,92
64,C00064,2025-05-15,241
65,C00065,2025-03-08,126
66,C00066,2025-02-02,246
67,C00067,2025-03-07,259
68,C00068,2025-05-02,280
69,C00069,2025-03-26,330
70,C00070,2025-05-27,122
71,C00071,2025-02-10,95
72,C00072,2025-05-04,164
73,C00073,2025-05-09,107
74,C00074,2025-04-10,170
75,C00075,2025-10-11,205
76,C00076,2025-02-26,199
77,C00077,2025-04-30,108
78,C00078,2025-03-26,57
79,C00079,2025-05-29,122
80,C00080,2025-10-23,51
81,C00081,2025-06-29,305
82,C00082,2025-11-18,101
83,C00083,2025-02-05,54
84,C00084,2025-09-29,30
85,C00085,2025-01-10,184
86,C00086,2025-11-24,181
87,C00087,2025-07-27,100
88,C00088,2025-07-20,31
89,C00089,2025-10-01,117
90,C00090,2025-07-17,93
